detector,fraction,method,metric,projects,median,q25,q75
hashing,0.25,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.0
hashing,0.25,vultriage_full_gate_clip_20,max_relative_violation,24,0.0,0.0,0.0
hashing,0.25,vultriage_full_gate_clip_20,singleton_coverage,24,0.0,0.0,0.0
hashing,0.25,vultriage_full_gate_clip_20,review_load,24,1.0,1.0,1.0
hashing,0.25,vultriage_full_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.25,vultriage_full_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.5,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.07012434374136502,0.037363445378151255,0.0960615984948784
hashing,0.5,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.21563468950688236,0.15362673137892555,0.22801340136677373
hashing,0.5,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.00023376623376623385,0.0,0.005931276053728575
hashing,0.5,estimated_weight_no_gate_clip_20,safe_violation,24,0.01613345428239747,0.0,0.028235456674229456
hashing,0.5,estimated_weight_no_gate_clip_20,max_relative_violation,24,0.12479163282953568,0.06798403580303819,0.3097675826252205
hashing,0.5,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.40845112496503216,0.36880615555761564,0.4599744931215479
hashing,0.5,estimated_weight_no_gate_clip_20,review_load,24,0.5915488750349678,0.5400255068784521,0.6311938444423844
