detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
hashing,librsvg,1.0,unweighted_mondrian,0.5515789473684211,0.17495652173913043,0.4515789473684211,0.0010434782608695625,4.515789473684211,0.6346268656716417,0.3653731343283582,0.12882677290459688,0.22283384005525453
hashing,librsvg,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12882677290459688,0.22283384005525453
hashing,libtpms,0.25,estimated_weight_no_gate_clip_20,0.0,0.11118110236220473,0.0,0.0,0.0,0.14310204081632652,0.8568979591836735,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.25,unweighted_mondrian,0.0924770642201835,0.1394225721784777,0.03240366972477064,0.0,0.32403669724770645,0.30097959183673473,0.6990204081632654,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.5,estimated_weight_no_gate_clip_20,0.0,0.12283464566929134,0.0,0.0,0.0,0.15575510204081633,0.8442448979591837,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.5,unweighted_mondrian,0.07706422018348624,0.13816272965879267,0.023522935779816515,0.0,0.23522935779816515,0.26946938775510204,0.7305306122448979,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.5,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.75,estimated_weight_no_gate_clip_20,0.0,0.1279790026246719,0.0,0.0,0.0,0.1610612244897959,0.8389387755102041,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.75,unweighted_mondrian,0.09394495412844037,0.13753280839895013,0.029541284403669724,0.0,0.29541284403669726,0.2884081632653061,0.7115918367346938,0.31485274303072525,0.2040324913287017
hashing,libtpms,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31485274303072525,0.2040324913287017
hashing,libtpms,1.0,estimated_weight_no_gate_clip_20,0.0,0.13070866141732285,0.0,0.0,0.0,0.16448979591836735,0.8355102040816327,0.31485274303072525,0.2040324913287017
