detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load
codebert,FreeRDP,0.1,0.1,msp_matched_vultriage_full_gate,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,pooled_split_conformal,3.893617021276595,0.3893617021276595,0.0,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.1,prom_derived_aps,0.8439716312056735,0.0843971631205673,0.0,0.28653061224489795,0.713469387755102
codebert,FreeRDP,0.1,0.1,prom_derived_lac,3.893617021276595,0.3893617021276595,0.0,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.1,prom_derived_raps,0.8439716312056735,0.0843971631205673,0.0,0.2873469387755102,0.7126530612244898
codebert,FreeRDP,0.1,0.1,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.1,0.1,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.1,0.1,temperature_msp_matched_unweighted_mondrian,4.106382978723404,0.41063829787234046,0.002502979737783,0.7448979591836735,0.2551020408163265
codebert,FreeRDP,0.1,0.1,temperature_msp_matched_vultriage_full_gate,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,unweighted_mondrian,4.319148936170213,0.4319148936170213,0.0,0.7448979591836735,0.2551020408163265
codebert,FreeRDP,0.1,0.1,vultriage_ess_only_clip_10,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_ess_only_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_ess_only_clip_50,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_full_gate_clip_10,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_full_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_full_gate_clip_50,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
codebert,FreeRDP,0.1,0.1,vultriage_infinity_only_clip_10,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775
