detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.05,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,23,0.00893419867947183,0.008944500201108214,-0.01865245527217363,0.05095184770436734,14,1,9,0.4048728942871094,0.5599584579467773,1.0
codebert,0.05,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,23,-0.008934198679471816,-0.00894450020110818,-0.05095184770436739,0.01865245527217363,14,1,9,0.4048728942871094,0.5599584579467773,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,max_relative_violation,24,20,0.0,0.09174311926605505,-0.3928490581044622,0.3399433427762042,9,4,11,0.8238029479980469,0.7841262817382812,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.013244396392150302,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.104156494140625,0.20831298828125
codebert,0.05,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,safe_violation,24,10,0.0,-0.004064043829042125,-0.010942384993300597,0.0,9,14,1,0.021484375,0.009765625,0.0390625
codebert,0.05,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,singleton_coverage,24,23,0.00893419867947183,0.0069707685854659696,-0.0204081632653062,0.05095184770436734,14,1,9,0.4048728942871094,0.776785135269165,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,review_load,24,23,-0.008934198679471816,-0.006970768585465928,-0.05095184770436739,0.02366801580434289,14,1,9,0.4048728942871094,0.776785135269165,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_infinity_only_clip_20,max_relative_violation,24,20,0.0,0.10607915136678901,-0.3571428571428572,0.3399433427762042,9,4,11,0.8238029479980469,0.6215133666992188,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_infinity_only_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0154411764705882,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.044559478759765625,0.1782379150390625
codebert,0.05,0.05,unweighted_mondrian,vultriage_infinity_only_clip_20,safe_violation,24,10,0.0,-0.004064043829042125,-0.010942384993300597,0.0,9,14,1,0.021484375,0.009765625,0.0390625
codebert,0.05,0.05,unweighted_mondrian,vultriage_infinity_only_clip_20,singleton_coverage,24,23,0.00893419867947183,0.008944500201108214,-0.01865245527217363,0.05095184770436734,14,1,9,0.4048728942871094,0.5599584579467773,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_infinity_only_clip_20,review_load,24,23,-0.008934198679471816,-0.00894450020110818,-0.05095184770436739,0.01865245527217363,14,1,9,0.4048728942871094,0.5599584579467773,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_full_gate_clip_20,max_relative_violation,24,20,0.0,0.029461171155919223,-0.3928490581044622,0.3399433427762042,9,4,11,0.8238029479980469,0.8983173370361328,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_full_gate_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0123152709359606,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.18186569213867188,0.20831298828125
codebert,0.05,0.05,unweighted_mondrian,vultriage_full_gate_clip_20,safe_violation,24,10,0.0,-0.004064043829042125,-0.010942384993300597,0.0,9,14,1,0.021484375,0.009765625,0.0390625
codebert,0.05,0.05,unweighted_mondrian,vultriage_full_gate_clip_20,singleton_coverage,24,23,0.00893419867947183,0.0069707685854659696,-0.0204081632653062,0.05095184770436734,14,1,9,0.4048728942871094,0.776785135269165,1.0
codebert,0.05,0.05,unweighted_mondrian,vultriage_full_gate_clip_20,review_load,24,23,-0.008934198679471816,-0.006970768585465928,-0.05095184770436739,0.02797869276685322,14,1,9,0.4048728942871094,0.776785135269165,1.0
codebert,0.05,0.05,unweighted_mondrian,prom_derived_union,max_relative_violation,24,22,-1.6605504587155964,-2.04246201500775,-2.5610766045548647,-1.198391420911528,22,2,0,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-06
codebert,0.05,0.05,unweighted_mondrian,prom_derived_union,vulnerable_violation,24,19,-0.07616708614110575,-0.08713235294117645,-0.1168987549148099,-0.0207762557077625,19,5,0,3.814697265625e-06,3.814697265625e-06,1.9073486328125e-05
codebert,0.05,0.05,unweighted_mondrian,prom_derived_union,safe_violation,24,11,0.0,-0.0190447916954627,-0.0312862885216614,0.0,11,13,0,0.0009765625,0.0009765625,0.0048828125
codebert,0.05,0.05,unweighted_mondrian,prom_derived_union,singleton_coverage,24,24,-0.4430352831431079,-0.4265922536879198,-0.4694669958134876,-0.3825088339222615,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.05,0.05,unweighted_mondrian,prom_derived_union,review_load,24,24,0.443035283143108,0.42659225368791986,0.38250883392226154,0.46631403118040093,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.05,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,21,0.0,0.09650223687860127,-0.19205002233139784,0.3399433427762042,10,3,11,1.0,0.5167608261108398,1.0
codebert,0.05,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0154411764705882,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.044559478759765625,0.1782379150390625
codebert,0.05,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,13,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,11,1,0.00341796875,0.001220703125,0.00244140625
codebert,0.05,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,24,0.001922529667641143,-0.001578982412829319,-0.025700934579439227,0.010600706713780883,13,0,11,0.8388197422027588,0.8774070739746094,1.0
codebert,0.05,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,24,-0.0019225296676411152,0.0015789824128292773,-0.010600706713780883,0.025700934579439227,13,0,11,0.8388197422027588,0.8774070739746094,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,max_relative_violation,24,21,0.0,0.0842303715866935,-0.19205002233139784,0.3399433427762042,10,3,11,1.0,0.6578273773193359,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.013244396392150302,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.104156494140625,0.20831298828125
