detector,target_group,alpha_vulnerable,alpha_safe,method,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier,f1,mcc
codebert,envoy,0.05,0.1,estimated_weight_no_gate_clip_20,0.10546218487394958,0.0,2.1092436974789917,0.33218588640275387,0.6678141135972461,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.05,0.1,unweighted_mondrian,0.223109243697479,0.0,4.462184873949579,0.42589405240007655,0.5741059475999235,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.05,0.1,vultriage_full_gate_clip_20,0.10546218487394958,0.0,2.1092436974789917,0.33218588640275387,0.6678141135972461,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.05,0.2,estimated_weight_no_gate_clip_20,0.10546218487394958,0.06207172911240233,2.1092436974789917,0.4997131382673551,0.5002868617326449,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.05,0.2,unweighted_mondrian,0.223109243697479,0.00997796032859144,4.462184873949579,0.5633964429145152,0.4366035570854848,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.05,0.2,vultriage_full_gate_clip_20,0.10546218487394958,0.06207172911240233,2.1092436974789917,0.4997131382673551,0.5002868617326449,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.05,estimated_weight_no_gate_clip_20,0.17310924369747896,0.0,1.7310924369747895,0.3757888697647734,0.6242111302352267,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.05,unweighted_mondrian,0.31596638655462184,0.0,3.1596638655462184,0.5396825396825397,0.4603174603174603,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.05,vultriage_full_gate_clip_20,0.17310924369747896,0.0,1.7310924369747895,0.3757888697647734,0.6242111302352267,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.1,estimated_weight_no_gate_clip_20,0.17310924369747896,0.0,1.7310924369747895,0.4436794798240581,0.5563205201759419,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.1,unweighted_mondrian,0.31596638655462184,0.0,3.1596638655462184,0.5873015873015873,0.4126984126984127,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.1,vultriage_full_gate_clip_20,0.17310924369747896,0.0,1.7310924369747895,0.4436794798240581,0.5563205201759419,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.2,estimated_weight_no_gate_clip_20,0.17310924369747896,0.06207172911240233,1.7310924369747895,0.6112067316886594,0.3887932683113406,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.2,unweighted_mondrian,0.31596638655462184,0.00997796032859144,3.1596638655462184,0.724803977816026,0.275196022183974,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,envoy,0.1,0.2,vultriage_full_gate_clip_20,0.17310924369747896,0.06207172911240233,1.7310924369747895,0.6112067316886594,0.3887932683113406,0.07417094287335807,0.1917780413067091,0.09652928416485901,0.03162923743323539
codebert,ffmpeg,0.01,0.05,estimated_weight_no_gate_clip_20,0.011739130434782608,0.0,1.1739130434782608,0.11073825503355705,0.889261744966443,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.05,unweighted_mondrian,0.011739130434782608,0.04636363636363636,1.1739130434782608,0.15604026845637584,0.8439597315436241,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
codebert,ffmpeg,0.01,0.05,vultriage_full_gate_clip_20,0.011739130434782608,0.0,1.1739130434782608,0.11073825503355705,0.889261744966443,0.17082991401551045,0.2321125886112989,0.24657534246575344,0.21725817079929471
