detector,target_group,alpha_vulnerable,alpha_safe,method_baseline,max_relative_violation_baseline,vulnerable_violation_baseline,safe_violation_baseline,singleton_coverage_baseline,review_load_baseline,method_weighted,max_relative_violation_weighted,vulnerable_violation_weighted,safe_violation_weighted,singleton_coverage_weighted,review_load_weighted,baseline_worst_violation,weighted_worst_violation
codebert,ffmpeg,0.05,0.05,unweighted_mondrian,2.27188940092166,0.0,0.1135944700460828,0.3540183112919634,0.6459816887080366,estimated_weight_no_gate_clip_20,0.889400921658986,0.0,0.0444700460829493,0.3041709053916582,0.6958290946083419,2.27188940092166,0.889400921658986
codebert,ffmpeg,0.05,0.1,unweighted_mondrian,1.7188940092165896,0.0,0.1718894009216589,0.474059003051882,0.525940996948118,estimated_weight_no_gate_clip_20,0.9470046082949308,0.0,0.094700460829493,0.4140386571719227,0.5859613428280773,1.7188940092165896,0.9470046082949308
codebert,ffmpeg,0.05,0.2,unweighted_mondrian,1.165898617511521,0.0,0.2331797235023041,0.641912512716175,0.358087487283825,estimated_weight_no_gate_clip_20,0.6762672811059908,0.0,0.1352534562211981,0.5625635808748728,0.4374364191251271,1.165898617511521,0.6762672811059908
codebert,ffmpeg,0.1,0.05,unweighted_mondrian,2.27188940092166,0.0,0.1135944700460828,0.4618514750762969,0.5381485249237029,estimated_weight_no_gate_clip_20,0.889400921658986,0.0,0.0444700460829493,0.4516785350966429,0.5483214649033571,2.27188940092166,0.889400921658986
codebert,ffmpeg,0.1,0.1,unweighted_mondrian,1.7188940092165896,0.0,0.1718894009216589,0.5818921668362157,0.4181078331637843,estimated_weight_no_gate_clip_20,0.9470046082949308,0.0,0.094700460829493,0.5615462868769074,0.4384537131230924,1.7188940092165896,0.9470046082949308
codebert,ffmpeg,0.1,0.2,unweighted_mondrian,1.165898617511521,0.0,0.2331797235023041,0.7497456765005086,0.2502543234994913,estimated_weight_no_gate_clip_20,0.6762672811059908,0.0,0.1352534562211981,0.7100712105798576,0.2899287894201424,1.165898617511521,0.6762672811059908
codebert,ghostpdl,0.01,0.05,unweighted_mondrian,5.422018348623853,0.0542201834862384,0.0,0.1952296819787985,0.8047703180212015,estimated_weight_no_gate_clip_20,9.091743119266056,0.0909174311926605,0.0,0.2261484098939929,0.773851590106007,5.422018348623853,9.091743119266056
codebert,ghostpdl,0.01,0.1,unweighted_mondrian,5.422018348623853,0.0542201834862384,0.0036168132942326,0.269434628975265,0.730565371024735,estimated_weight_no_gate_clip_20,9.091743119266056,0.0909174311926605,0.0,0.2756183745583039,0.7243816254416962,5.422018348623853,9.091743119266056
codebert,ghostpdl,0.01,0.2,unweighted_mondrian,5.422018348623853,0.0542201834862384,0.0346041055718475,0.4019434628975265,0.5980565371024735,estimated_weight_no_gate_clip_20,9.091743119266056,0.0909174311926605,0.0,0.3895759717314487,0.6104240282685512,5.422018348623853,9.091743119266056
codebert,ghostpdl,0.05,0.05,unweighted_mondrian,1.5688073394495412,0.078440366972477,0.0,0.3825088339222615,0.6174911660777385,estimated_weight_no_gate_clip_20,1.7522935779816513,0.0876146788990825,0.0,0.4178445229681979,0.5821554770318021,1.5688073394495412,1.7522935779816513
codebert,ghostpdl,0.05,0.1,unweighted_mondrian,1.5688073394495412,0.078440366972477,0.0036168132942326,0.4567137809187279,0.5432862190812721,estimated_weight_no_gate_clip_20,1.7522935779816513,0.0876146788990825,0.0,0.4673144876325087,0.5326855123674912,1.5688073394495412,1.7522935779816513
codebert,ghostpdl,0.05,0.2,unweighted_mondrian,1.5688073394495412,0.078440366972477,0.0346041055718475,0.5892226148409894,0.4107773851590106,estimated_weight_no_gate_clip_20,1.7522935779816513,0.0876146788990825,0.0,0.5812720848056537,0.4187279151943462,1.5688073394495412,1.7522935779816513
codebert,ghostpdl,0.1,0.05,unweighted_mondrian,1.110091743119266,0.1110091743119266,0.0,0.5132508833922261,0.4867491166077738,estimated_weight_no_gate_clip_20,1.6605504587155964,0.1660550458715596,0.0,0.534452296819788,0.4655477031802119,1.110091743119266,1.6605504587155964
codebert,ghostpdl,0.1,0.1,unweighted_mondrian,1.110091743119266,0.1110091743119266,0.0036168132942326,0.5874558303886925,0.4125441696113074,estimated_weight_no_gate_clip_20,1.6605504587155964,0.1660550458715596,0.0,0.583922261484099,0.4160777385159011,1.110091743119266,1.6605504587155964
codebert,ghostpdl,0.1,0.2,unweighted_mondrian,1.110091743119266,0.1110091743119266,0.0346041055718475,0.7199646643109541,0.2800353356890459,estimated_weight_no_gate_clip_20,1.6605504587155964,0.1660550458715596,0.0,0.6978798586572438,0.3021201413427561,1.110091743119266,1.6605504587155964
codebert,imagemagick,0.01,0.05,unweighted_mondrian,7.000000000000002,0.07,0.1280538302277432,0.3933588761174968,0.6066411238825032,estimated_weight_no_gate_clip_20,0.6666666666666666,0.0066666666666666,0.0,0.0485312899106002,0.9514687100893996,7.000000000000002,0.6666666666666666
codebert,imagemagick,0.01,0.1,unweighted_mondrian,7.000000000000002,0.07,0.1857142857142857,0.5363984674329502,0.4636015325670498,estimated_weight_no_gate_clip_20,0.6666666666666666,0.0066666666666666,0.0,0.1366538952745849,0.8633461047254152,7.000000000000002,0.6666666666666666
codebert,imagemagick,0.01,0.2,unweighted_mondrian,7.000000000000002,0.07,0.253416149068323,0.6998722860791826,0.3001277139208174,estimated_weight_no_gate_clip_20,0.6666666666666666,0.0066666666666666,0.0298136645962732,0.3422733077905491,0.6577266922094508,7.000000000000002,0.6666666666666666
